[2026-06-09 18:15:27] GET /api/metrics/summary - Total: 2.92ms, DB Conn: 0.72ms, DB Query: 1.05ms
[2026-06-09 18:15:27] GET /api/metrics/table - Total: 3.19ms, DB Conn: 0.92ms, DB Query: 1.22ms
[2026-06-09 18:15:27] GET /api/metrics/charts - Total: 6.33ms, DB Conn: 0.96ms, DB Query: 4.17ms
[2026-06-09 18:15:30] GET /api/metrics/summary - Total: 3.15ms, DB Conn: 0.72ms, DB Query: 0.90ms
[2026-06-09 18:15:30] GET /api/metrics/charts - Total: 6.39ms, DB Conn: 1.09ms, DB Query: 3.83ms
[2026-06-09 18:15:30] GET /api/metrics/table - Total: 12.56ms, DB Conn: 0.91ms, DB Query: 1.64ms
[2026-06-09 18:15:33] GET /api/metrics/summary - Total: 4.08ms, DB Conn: 0.89ms, DB Query: 1.08ms
[2026-06-09 18:15:33] GET /api/metrics/charts - Total: 7.53ms, DB Conn: 0.77ms, DB Query: 4.12ms
[2026-06-09 18:15:33] GET /api/metrics/table - Total: 13.44ms, DB Conn: 0.86ms, DB Query: 1.91ms
[2026-06-09 18:19:01] GET /api/filters - Total: 4.48ms, DB Conn: 1.14ms, DB Query: 1.11ms
[2026-06-09 18:19:01] GET /api/metrics/summary - Total: 4.70ms, DB Conn: 1.06ms, DB Query: 1.17ms
[2026-06-09 18:19:01] GET /api/report-metadata - Total: 4.60ms, DB Conn: 1.06ms, DB Query: 0.73ms
[2026-06-09 18:19:01] GET /api/metrics/charts - Total: 7.13ms, DB Conn: 0.73ms, DB Query: 4.04ms
[2026-06-09 18:19:01] GET /api/metrics/table - Total: 20.89ms, DB Conn: 1.14ms, DB Query: 2.61ms
[2026-06-09 18:19:01] GET /api/filters - Total: 3.46ms, DB Conn: 0.85ms, DB Query: 1.01ms
[2026-06-09 18:19:01] GET /api/report-metadata - Total: 4.59ms, DB Conn: 0.75ms, DB Query: 0.73ms
[2026-06-09 18:19:01] GET /api/metrics/summary - Total: 3.23ms, DB Conn: 0.77ms, DB Query: 1.21ms
[2026-06-09 18:19:01] GET /api/metrics/charts - Total: 7.04ms, DB Conn: 0.84ms, DB Query: 3.74ms
[2026-06-09 18:19:01] GET /api/metrics/table - Total: 6.97ms, DB Conn: 0.64ms, DB Query: 1.44ms
[2026-06-09 18:19:02] GET /api/report-metadata - Total: 2.90ms, DB Conn: 1.06ms, DB Query: 0.73ms
[2026-06-09 18:19:02] GET /api/filters - Total: 2.71ms, DB Conn: 0.98ms, DB Query: 0.73ms
[2026-06-09 18:19:02] GET /api/metrics/summary - Total: 3.35ms, DB Conn: 0.97ms, DB Query: 1.15ms
[2026-06-09 18:19:02] GET /api/metrics/charts - Total: 6.48ms, DB Conn: 0.77ms, DB Query: 3.85ms
[2026-06-09 18:19:02] GET /api/metrics/table - Total: 17.75ms, DB Conn: 0.73ms, DB Query: 2.81ms
[2026-06-09 18:19:02] GET /api/report-metadata - Total: 2.64ms, DB Conn: 0.76ms, DB Query: 0.74ms
[2026-06-09 18:19:02] GET /api/metrics/summary - Total: 3.44ms, DB Conn: 0.88ms, DB Query: 1.18ms
[2026-06-09 18:19:02] GET /api/filters - Total: 3.84ms, DB Conn: 0.95ms, DB Query: 1.25ms
[2026-06-09 18:19:02] GET /api/metrics/charts - Total: 6.30ms, DB Conn: 0.82ms, DB Query: 3.76ms
[2026-06-09 18:19:02] GET /api/metrics/table - Total: 10.22ms, DB Conn: 0.87ms, DB Query: 1.48ms
[2026-06-09 18:19:09] GET /api/metrics/table - Total: 7.09ms, DB Conn: 1.69ms, DB Query: 1.65ms
[2026-06-09 18:19:09] GET /api/metrics/summary - Total: 2.69ms, DB Conn: 1.13ms, DB Query: 1.09ms
[2026-06-09 18:19:09] GET /api/report-metadata - Total: 1.77ms, DB Conn: 0.78ms, DB Query: 0.81ms
[2026-06-09 18:19:09] GET /api/filters - Total: 3.92ms, DB Conn: 0.68ms, DB Query: 0.77ms
[2026-06-09 18:19:09] GET /api/metrics/charts - Total: 6.18ms, DB Conn: 0.96ms, DB Query: 4.14ms
[2026-06-09 18:19:09] GET /api/filters - Total: 3.33ms, DB Conn: 0.89ms, DB Query: 1.12ms
[2026-06-09 18:19:09] GET /api/metrics/summary - Total: 3.17ms, DB Conn: 0.73ms, DB Query: 0.97ms
[2026-06-09 18:19:09] GET /api/report-metadata - Total: 3.41ms, DB Conn: 0.97ms, DB Query: 1.24ms
